,"Amplicon 73
[21889-22247]

AY.4.2

21995C,22227T","Amplicon 72
[21561-21904]

BA.1

21762T,Δ21765-21770,21846T","Amplicon 73
[21889-22247]

BA.1

Δ21987-21995,Δ22194-22196","Amplicon 75
[22428-22785]

BA.1

22578A,22673→CTC,22679C,22686T","Amplicon 76
[22677-23028]

BA.1

22679C,22686T,22813T,22882G,22898A,22992A,22995A,23013C","Amplicon 77
[22974-23327]

BA.1

22992A,22995A,23013C,23040G,23048A,23055G,23063T,23075C,23202A","Amplicon 80
[23876-24233]

BA.1

23948T,24130A","Amplicon 81
[24194-24545]

BA.1

24424T,24469A,24503T","Amplicon 78
[23246-23611]

BA.1,BA.2

23403G,23525T,23599G,23604A","Amplicon 79
[23575-23927]

BA.1,BA.2

23599G,23604A,23854A","Amplicon 94
[28021-28394]

BA.1,BA.2

28311T,Δ28362-28370","Amplicon 95
[28214-28572]

BA.1,BA.2

28311T,Δ28362-28370","Amplicon 14
[4018-4387]

BA.2

4184A,4321T","Amplicon 31
[9192-9535]

BA.2

9344T,9424G,9534T","Amplicon 33
[9805-10150]

BA.2

9866T,10029T","Amplicon 34
[10099-10465]

BA.2

10198T,10447A,10449A","Amplicon 35
[10419-10785]

BA.2

10447A,10449A","Amplicon 43
[12856-13218]

BA.2

12880T,13195C","Amplicon 66
[19836-20186]

BA.2

19955T,20055G","Amplicon 71
[21316-21675]

BA.2

21618T,Δ21633-21641","Amplicon 72
[21561-21904]

BA.2

21618T,Δ21633-21641","Amplicon 73
[21889-22247]

BA.2

Δ21987-21995,22200G","Amplicon 75
[22428-22785]

BA.2

22578A,22674T,22679C,22686T,22688G,22775A","Amplicon 76
[22677-23028]

BA.2

22679C,22686T,22688G,22775A,22786T,22813T,22882G,22992A,22995A,23013C","Amplicon 77
[22974-23327]

BA.2

22992A,22995A,23013C,23040G,23055G,23063T,23075C","Amplicon 81
[24194-24545]

BA.2

24424T,24469A","Amplicon 87
[25979-26338]

BA.2

26060T,26270T","Amplicon 89
[26587-26956]

BA.2

26709A,26858T","Amplicon 91
[27177-27534]

BA.2

27259C,27382→CTC","Amplicon 77
[22974-23327]

B.1.1.7 (alpha)

23063T,23271A","Amplicon 78
[23246-23611]

B.1.1.7 (alpha)

23271A,23604A","Amplicon 79
[23575-23927]

B.1.1.7 (alpha)

23604A,23709T","Amplicon 93
[27726-28082]

B.1.1.7 (alpha)

27972T,28048T","Amplicon 94
[28021-28394]

B.1.1.7 (alpha)

28048T,28111G,28280→CTA","Amplicon 29
[8619-8990]

B.1.351 (beta)

8660T,8964T","Amplicon 72
[21561-21904]

B.1.351 (beta)

21614T,21801C","Amplicon 74
[22113-22474]

B.1.351 (beta)

22206G,22299T","Amplicon 76
[22677-23028]

B.1.351 (beta)

22813T,23012A","Amplicon 72
[21561-21904]

C.36.3

21597T,Δ21765-21770","Amplicon 78
[23246-23611]

B.1

23403G","Amplicon 76
[22677-23028]

AY.4.2,B.1.617.2 (delta)

22917G,22995A","Amplicon 92
[27473-27826]

AY.4.2,B.1.617.2 (delta)

27638C,27752T","Amplicon 77
[22974-23327]

B.1.351 (beta),P.1 (gamma)

23012A,23063T","Amplicon 71
[21316-21675]

P.1 (gamma)

21614T,21621A,21638T","Amplicon 72
[21561-21904]

P.1 (gamma)

21614T,21621A,21638T","Amplicon 73
[21889-22247]

P.1 (gamma)

21974T,22132T","Amplicon 76
[22677-23028]

P.1 (gamma)

22812C,23012A","Amplicon 96
[28536-28893]

P.1 (gamma)

28877T,28878C","Amplicon 97
[28849-29206]

P.1 (gamma)

28877T,28878C","Amplicon 76
[22677-23028]

B.1.617.3,B.1.617.1 (kappa)

22917G,23012C","Amplicon 93
[27726-28082]

B.1.621

27925A,28005T","Amplicon 82
[24448-24814]

BA.1,BA.1

24469A,24503T","Amplicon 88
[26277-26635]

BA.1,BA.1

26530G,26577G","Amplicon 76
[22677-23028]

BA.1

22679C,22898A","Amplicon 77
[22974-23327]

BA.1

23048A,23202A","Amplicon 81
[24194-24545]

BA.1

24469A,24503T","Amplicon 31
[9192-9535]

BA.2

9424G,9534T","Amplicon 34
[10099-10465]

BA.2

10198T,10447A","Amplicon 75
[22428-22785]

BA.2

22679C,22688G,22775A","Amplicon 76
[22677-23028]

BA.2

22679C,22688G,22775A,22786C"
SRR19179130.fastq.bam,"3 / 1646
0.18%","0 / 5
0.00%","0 / 1647
0.00%","0 / 0
NA","1 / 1010
0.10%","1 / 1022
0.10%","0 / 3432
0.00%","0 / 858
0.00%","3784 / 3789
99.87%","1 / 56
1.79%","118 / 118
100.00%","4447 / 4482
99.22%","0 / 638
0.00%","0 / 16
0.00%","1079 / 1083
99.63%","0 / 28
0.00%","3 / 3
100.00%","0 / 1
0.00%","7044 / 7060
99.77%","0 / 0
NA","0 / 0
NA","1 / 1647
0.06%","0 / 0
NA","0 / 1
0.00%","1012 / 1022
99.02%","857 / 858
99.88%","0 / 103
0.00%","635 / 637
99.69%","0 / 132
0.00%","1021 / 1036
98.55%","0 / 799
0.00%","0 / 59
0.00%","0 / 5
0.00%","0 / 261
0.00%","0 / 207
0.00%","0 / 5
0.00%","0 / 1690
0.00%","985 / 995
98.99%","0 / 5
0.00%","4596 / 4598
99.96%","3 / 1010
0.30%","0 / 80
0.00%","0 / 1022
0.00%","0 / 0
NA","0 / 0
NA","0 / 637
0.00%","0 / 995
0.00%","0 / 3
0.00%","0 / 3605
0.00%","4 / 2017
0.20%","0 / 20
0.00%","0 / 0
NA","0 / 885
0.00%","6 / 2019
0.30%","2 / 1049
0.19%","0 / 858
0.00%","0 / 16
0.00%","0 / 28
0.00%","0 / 0
NA","1 / 1
100.00%"
SRR19179131.fastq.bam,"5 / 2642
0.19%","0 / 30
0.00%","0 / 2642
0.00%","0 / 2
0.00%","0 / 627
0.00%","0 / 638
0.00%","2 / 4339
0.05%","0 / 2063
0.00%","3871 / 3898
99.31%","1 / 31
3.23%","143 / 145
98.62%","2816 / 2857
98.56%","0 / 30
0.00%","0 / 6
0.00%","910 / 918
99.13%","1 / 966
0.10%","5 / 5
100.00%","0 / 0
NA","3037 / 3042
99.84%","0 / 0
NA","0 / 0
NA","0 / 2642
0.00%","2 / 2
100.00%","0 / 1
0.00%","634 / 638
99.37%","2050 / 2063
99.37%","0 / 70
0.00%","592 / 594
99.66%","0 / 94
0.00%","638 / 657
97.11%","1 / 2154
0.05%","0 / 43
0.00%","0 / 1
0.00%","0 / 167
0.00%","1 / 484
0.21%","0 / 30
0.00%","0 / 2226
0.00%","443 / 449
98.66%","0 / 30
0.00%","6094 / 6102
99.87%","0 / 627
0.00%","0 / 79
0.00%","0 / 638
0.00%","0 / 0
NA","0 / 0
NA","0 / 928
0.00%","1 / 449
0.22%","0 / 3
0.00%","0 / 4390
0.00%","1 / 1085
0.09%","0 / 19
0.00%","0 / 0
NA","0 / 1022
0.00%","1 / 1086
0.09%","0 / 680
0.00%","0 / 2063
0.00%","0 / 6
0.00%","1 / 966
0.10%","2 / 2
100.00%","1 / 1
100.00%"
SRR19179132.fastq.bam,"1 / 2166
0.05%","0 / 33
0.00%","0 / 2166
0.00%","0 / 2
0.00%","1 / 921
0.11%","0 / 940
0.00%","0 / 2792
0.00%","1 / 1053
0.09%","3805 / 3815
99.74%","2 / 34
5.88%","33 / 33
100.00%","2669 / 2710
98.49%","0 / 116
0.00%","0 / 10
0.00%","581 / 583
99.66%","0 / 4
0.00%","2 / 2
100.00%","0 / 0
NA","6080 / 6087
99.89%","0 / 0
NA","1 / 1
100.00%","1 / 2166
0.05%","2 / 2
100.00%","0 / 1
0.00%","787 / 940
83.72%","1051 / 1053
99.81%","0 / 21
0.00%","455 / 455
100.00%","1 / 168
0.60%","941 / 957
98.33%","2 / 971
0.21%","1 / 34
2.94%","0 / 2
0.00%","0 / 108
0.00%","0 / 231
0.00%","0 / 35
0.00%","0 / 792
0.00%","816 / 827
98.67%","21 / 34
61.76%","4790 / 4796
99.87%","145 / 921
15.74%","0 / 47
0.00%","2 / 941
0.21%","0 / 0
NA","0 / 1
0.00%","0 / 891
0.00%","1 / 827
0.12%","0 / 1
0.00%","431 / 2982
14.45%","299 / 1759
17.00%","0 / 8
0.00%","0 / 0
NA","0 / 632
0.00%","4 / 1760
0.23%","0 / 966
0.00%","1 / 1053
0.09%","0 / 10
0.00%","0 / 4
0.00%","2 / 2
100.00%","1 / 1
100.00%"
SRR19179133.fastq.bam,"3 / 1004
0.30%","0 / 13
0.00%","5 / 1004
0.50%","0 / 2
0.00%","1 / 953
0.10%","0 / 980
0.00%","1 / 2070
0.05%","0 / 359
0.00%","1234 / 1238
99.68%","0 / 16
0.00%","61 / 61
100.00%","512 / 516
99.22%","0 / 75
0.00%","0 / 2
0.00%","1120 / 1127
99.38%","0 / 1448
0.00%","0 / 0
NA","0 / 0
NA","1949 / 1950
99.95%","0 / 0
NA","1 / 1
100.00%","5 / 1004
0.50%","2 / 2
100.00%","0 / 585
0.00%","970 / 980
98.98%","358 / 359
99.72%","0 / 6
0.00%","96 / 96
100.00%","0 / 14
0.00%","977 / 986
99.09%","0 / 885
0.00%","0 / 17
0.00%","0 / 3
0.00%","0 / 36
0.00%","0 / 40
0.00%","0 / 14
0.00%","0 / 1511
0.00%","586 / 596
98.32%","0 / 14
0.00%","2138 / 2140
99.91%","0 / 953
0.00%","0 / 10
0.00%","1 / 980
0.10%","0 / 0
NA","0 / 1
0.00%","0 / 375
0.00%","1 / 596
0.17%","0 / 2
0.00%","3 / 1911
0.16%","1 / 1571
0.06%","0 / 3
0.00%","0 / 0
NA","0 / 53
0.00%","1 / 1566
0.06%","0 / 996
0.00%","0 / 359
0.00%","0 / 2
0.00%","2 / 1449
0.14%","2 / 2
100.00%","321 / 596
53.86%"
SRR19179134.fastq.bam,"3 / 1669
0.18%","0 / 8
0.00%","0 / 1669
0.00%","0 / 1
0.00%","1 / 500
0.20%","0 / 510
0.00%","1 / 680
0.15%","0 / 0
NA","2648 / 2658
99.62%","1 / 1
100.00%","135 / 136
99.26%","3268 / 3294
99.21%","0 / 136
0.00%","0 / 5
0.00%","448 / 449
99.78%","0 / 0
NA","0 / 0
NA","0 / 0
NA","3266 / 3270
99.88%","0 / 0
NA","0 / 0
NA","0 / 1669
0.00%","1 / 1
100.00%","1 / 567
0.18%","506 / 510
99.22%","0 / 0
NA","0 / 9
0.00%","310 / 310
100.00%","0 / 60
0.00%","510 / 515
99.03%","2 / 2517
0.08%","0 / 5
0.00%","0 / 3
0.00%","0 / 292
0.00%","2 / 223
0.90%","0 / 8
0.00%","0 / 168
0.00%","568 / 576
98.61%","0 / 8
0.00%","5211 / 5221
99.81%","0 / 500
0.00%","0 / 55
0.00%","0 / 510
0.00%","0 / 0
NA","0 / 0
NA","0 / 569
0.00%","0 / 576
0.00%","0 / 2
0.00%","0 / 2835
0.00%","0 / 1083
0.00%","0 / 7
0.00%","0 / 0
NA","0 / 301
0.00%","2 / 1083
0.18%","0 / 528
0.00%","0 / 0
NA","0 / 5
0.00%","0 / 0
NA","1 / 1
100.00%","210 / 576
36.46%"
SRR19179139.fastq.bam,"0 / 4850
0.00%","0 / 367
0.00%","4823 / 4850
99.44%","0 / 0
NA","102 / 103
99.03%","100 / 102
98.04%","0 / 61
0.00%","4791 / 4872
98.34%","972 / 974
99.79%","1 / 6
16.67%","48 / 49
97.96%","3631 / 3674
98.83%","0 / 460
0.00%","0 / 341
0.00%","1 / 5481
0.02%","0 / 893
0.00%","0 / 10
0.00%","0 / 9
0.00%","0 / 689
0.00%","0 / 0
NA","0 / 345
0.00%","4823 / 4850
99.44%","0 / 0
NA","0 / 4012
0.00%","100 / 102
98.04%","4858 / 4877
99.61%","0 / 23
0.00%","27 / 855
3.16%","0 / 331
0.00%","102 / 110
92.73%","4 / 8425
0.05%","0 / 10
0.00%","0 / 319
0.00%","0 / 2404
0.00%","0 / 73
0.00%","0 / 372
0.00%","0 / 0
NA","4009 / 4021
99.70%","364 / 367
99.18%","9499 / 9506
99.93%","0 / 103
0.00%","0 / 631
0.00%","0 / 102
0.00%","0 / 0
NA","0 / 348
0.00%","0 / 1547
0.00%","1 / 4021
0.02%","0 / 0
NA","0 / 2412
0.00%","0 / 4144
0.00%","0 / 318
0.00%","0 / 0
NA","0 / 52
0.00%","4103 / 4141
99.08%","110 / 176
62.50%","4800 / 4872
98.52%","0 / 341
0.00%","1 / 893
0.11%","0 / 0
NA","26 / 4016
0.65%"
SRR19179140.fastq.bam,"0 / 5569
0.00%","1 / 1849
0.05%","5545 / 5569
99.57%","0 / 0
NA","117 / 117
100.00%","0 / 90
0.00%","0 / 25
0.00%","4820 / 4868
99.01%","1171 / 1179
99.32%","0 / 7
0.00%","43 / 43
100.00%","3982 / 4022
99.01%","0 / 201
0.00%","0 / 549
0.00%","627 / 3678
17.05%","0 / 1440
0.00%","2 / 26
7.69%","0 / 0
NA","0 / 889
0.00%","0 / 0
NA","0 / 1752
0.00%","5545 / 5569
99.57%","0 / 0
NA","0 / 4032
0.00%","120 / 210
57.14%","4852 / 4877
99.49%","0 / 15
0.00%","0 / 2
0.00%","0 / 238
0.00%","120 / 214
56.07%","6 / 11443
0.05%","0 / 3
0.00%","0 / 18
0.00%","0 / 2568
0.00%","0 / 97
0.00%","0 / 1864
0.00%","0 / 0
NA","4036 / 4042
99.85%","359 / 1851
19.39%","12741 / 12760
99.85%","0 / 117
0.00%","0 / 508
0.00%","0 / 210
0.00%","0 / 0
NA","0 / 1769
0.00%","0 / 1764
0.00%","3 / 4042
0.07%","0 / 0
NA","0 / 3450
0.00%","1 / 4184
0.02%","0 / 18
0.00%","0 / 0
NA","0 / 33
0.00%","4000 / 4185
95.58%","0 / 90
0.00%","4834 / 4868
99.30%","0 / 549
0.00%","4 / 1447
0.28%","0 / 0
NA","117 / 4035
2.90%"
SRR19179141.fastq.bam,"0 / 2433
0.00%","0 / 215
0.00%","2295 / 2431
94.41%","0 / 0
NA","70 / 71
98.59%","74 / 74
100.00%","0 / 9
0.00%","3351 / 3754
89.26%","543 / 546
99.45%","0 / 1
0.00%","21 / 22
95.45%","1728 / 1755
98.46%","0 / 140
0.00%","0 / 208
0.00%","183 / 2073
8.83%","0 / 370
0.00%","0 / 7
0.00%","1 / 1
100.00%","15 / 203
7.39%","0 / 0
NA","0 / 206
0.00%","2295 / 2431
94.41%","0 / 0
NA","0 / 1167
0.00%","74 / 74
100.00%","3738 / 3757
99.49%","0 / 7
0.00%","48 / 570
8.42%","0 / 146
0.00%","74 / 74
100.00%","4 / 2020
0.20%","0 / 3
0.00%","0 / 95
0.00%","0 / 702
0.00%","0 / 28
0.00%","0 / 218
0.00%","0 / 181
0.00%","1170 / 1176
99.49%","214 / 215
99.53%","2596 / 2598
99.92%","0 / 71
0.00%","0 / 192
0.00%","0 / 74
0.00%","0 / 0
NA","0 / 208
0.00%","0 / 788
0.00%","1 / 1176
0.09%","0 / 0
NA","0 / 1032
0.00%","0 / 1282
0.00%","0 / 95
0.00%","0 / 0
NA","0 / 25
0.00%","1166 / 1252
93.13%","74 / 125
59.20%","3366 / 3754
89.66%","0 / 208
0.00%","1 / 372
0.27%","0 / 0
NA","55 / 1172
4.69%"
SRR19179142.fastq.bam,"1 / 2474
0.04%","0 / 130
0.00%","2088 / 2474
84.40%","0 / 0
NA","29 / 33
87.88%","29 / 33
87.88%","0 / 41
0.00%","0 / 0
NA","219 / 220
99.55%","1 / 2
50.00%","22 / 22
100.00%","1948 / 1964
99.19%","0 / 246
0.00%","0 / 66
0.00%","2 / 2992
0.07%","0 / 363
0.00%","0 / 4
0.00%","0 / 0
NA","36 / 242
14.88%","0 / 0
NA","0 / 125
0.00%","2088 / 2474
84.40%","0 / 0
NA","0 / 1646
0.00%","33 / 33
100.00%","0 / 0
NA","0 / 3
0.00%","68 / 440
15.45%","0 / 144
0.00%","33 / 33
100.00%","1 / 3424
0.03%","0 / 1
0.00%","0 / 6
0.00%","0 / 1191
0.00%","0 / 62
0.00%","0 / 133
0.00%","0 / 0
NA","1648 / 1651
99.82%","131 / 131
100.00%","3680 / 3683
99.92%","0 / 33
0.00%","0 / 136
0.00%","0 / 33
0.00%","0 / 0
NA","0 / 125
0.00%","0 / 857
0.00%","1 / 1651
0.06%","0 / 0
NA","0 / 1301
0.00%","0 / 1712
0.00%","0 / 6
0.00%","0 / 0
NA","0 / 35
0.00%","1689 / 1695
99.65%","29 / 107
27.10%","0 / 0
NA","0 / 66
0.00%","0 / 367
0.00%","0 / 0
NA","0 / 1649
0.00%"
SRR19179143.fastq.bam,"0 / 2491
0.00%","0 / 163
0.00%","1984 / 2490
79.68%","0 / 0
NA","103 / 109
94.50%","105 / 110
95.45%","0 / 26
0.00%","1805 / 1827
98.80%","468 / 470
99.57%","0 / 6
0.00%","22 / 22
100.00%","2124 / 2148
98.88%","0 / 109
0.00%","0 / 301
0.00%","1 / 3108
0.03%","0 / 702
0.00%","2 / 9
22.22%","0 / 0
NA","0 / 358
0.00%","0 / 0
NA","0 / 152
0.00%","1984 / 2490
79.68%","0 / 0
NA","0 / 1018
0.00%","110 / 110
100.00%","1821 / 1829
99.56%","0 / 10
0.00%","37 / 563
6.57%","0 / 120
0.00%","110 / 110
100.00%","2 / 4814
0.04%","0 / 10
0.00%","0 / 108
0.00%","0 / 1470
0.00%","0 / 56
0.00%","0 / 164
0.00%","0 / 624
0.00%","1022 / 1024
99.80%","156 / 163
95.71%","5335 / 5338
99.94%","0 / 109
0.00%","0 / 214
0.00%","0 / 110
0.00%","0 / 0
NA","0 / 152
0.00%","0 / 866
0.00%","0 / 1024
0.00%","0 / 0
NA","0 / 1617
0.00%","0 / 1154
0.00%","0 / 106
0.00%","0 / 0
NA","0 / 30
0.00%","1128 / 1135
99.38%","105 / 116
90.52%","1809 / 1827
99.01%","0 / 301
0.00%","1 / 704
0.14%","0 / 0
NA","0 / 1020
0.00%"
SRR19179144.fastq.bam,"0 / 5198
0.00%","0 / 560
0.00%","5171 / 5197
99.50%","0 / 0
NA","65 / 65
100.00%","67 / 67
100.00%","0 / 55
0.00%","7664 / 7721
99.26%","922 / 923
99.89%","4 / 9
44.44%","31 / 32
96.88%","3551 / 3614
98.26%","0 / 172
0.00%","0 / 356
0.00%","529 / 10392
5.09%","0 / 899
0.00%","0 / 29
0.00%","3 / 3
100.00%","0 / 826
0.00%","0 / 0
NA","0 / 520
0.00%","5171 / 5197
99.50%","0 / 0
NA","0 / 5306
0.00%","67 / 67
100.00%","7691 / 7733
99.46%","0 / 9
0.00%","13 / 857
1.52%","0 / 160
0.00%","67 / 71
94.37%","16 / 11244
0.14%","0 / 2
0.00%","2 / 276
0.72%","0 / 2214
0.00%","1 / 82
1.22%","0 / 564
0.00%","0 / 0
NA","5314 / 5322
99.85%","558 / 560
99.64%","12288 / 12296
99.93%","0 / 66
0.00%","0 / 673
0.00%","0 / 67
0.00%","0 / 0
NA","0 / 525
0.00%","0 / 1580
0.00%","4 / 5322
0.08%","0 / 1
0.00%","0 / 2354
0.00%","0 / 5414
0.00%","0 / 274
0.00%","0 / 0
NA","0 / 88
0.00%","5406 / 5411
99.91%","71 / 219
32.42%","7689 / 7721
99.59%","0 / 356
0.00%","1 / 903
0.11%","0 / 0
NA","0 / 5308
0.00%"
SRR19179145.fastq.bam,"0 / 3819
0.00%","0 / 134
0.00%","3804 / 3819
99.61%","0 / 0
NA","83 / 85
97.65%","86 / 87
98.85%","0 / 26
0.00%","5130 / 5192
98.81%","601 / 602
99.83%","1 / 2
50.00%","29 / 31
93.55%","3673 / 3707
99.08%","0 / 79
0.00%","0 / 442
0.00%","1 / 5537
0.02%","0 / 774
0.00%","0 / 5
0.00%","1 / 1
100.00%","17 / 490
3.47%","0 / 0
NA","0 / 123
0.00%","3804 / 3819
99.61%","0 / 0
NA","0 / 3217
0.00%","87 / 87
100.00%","5169 / 5198
99.44%","0 / 15
0.00%","14 / 512
2.73%","0 / 217
0.00%","87 / 88
98.86%","2 / 5728
0.03%","0 / 7
0.00%","0 / 32
0.00%","0 / 1434
0.00%","0 / 85
0.00%","0 / 135
0.00%","0 / 1
0.00%","3216 / 3226
99.69%","133 / 134
99.25%","6426 / 6431
99.92%","0 / 85
0.00%","0 / 222
0.00%","0 / 87
0.00%","0 / 0
NA","0 / 125
0.00%","0 / 1196
0.00%","2 / 3226
0.06%","0 / 1
0.00%","0 / 1100
0.00%","1 / 3323
0.03%","0 / 32
0.00%","0 / 0
NA","0 / 36
0.00%","2999 / 3321
90.30%","86 / 164
52.44%","5144 / 5192
99.08%","0 / 442
0.00%","1 / 774
0.13%","0 / 0
NA","205 / 3222
6.36%"
SRR19179146.fastq.bam,"0 / 1573
0.00%","0 / 134
0.00%","1566 / 1573
99.55%","0 / 0
NA","48 / 50
96.00%","49 / 50
98.00%","0 / 61
0.00%","1553 / 1574
98.67%","505 / 507
99.61%","0 / 4
0.00%","22 / 22
100.00%","1185 / 1201
98.67%","0 / 78
0.00%","0 / 226
0.00%","0 / 1881
0.00%","0 / 1042
0.00%","0 / 15
0.00%","0 / 0
NA","0 / 338
0.00%","0 / 0
NA","0 / 125
0.00%","1566 / 1573
99.55%","0 / 0
NA","0 / 418
0.00%","49 / 50
98.00%","1564 / 1576
99.24%","0 / 6
0.00%","14 / 358
3.91%","0 / 149
0.00%","50 / 51
98.04%","1 / 3516
0.03%","0 / 7
0.00%","0 / 4
0.00%","0 / 510
0.00%","0 / 62
0.00%","0 / 134
0.00%","0 / 426
0.00%","417 / 418
99.76%","133 / 134
99.25%","4059 / 4064
99.88%","0 / 50
0.00%","0 / 166
0.00%","0 / 50
0.00%","0 / 0
NA","0 / 125
0.00%","0 / 517
0.00%","0 / 418
0.00%","0 / 0
NA","0 / 1361
0.00%","1 / 473
0.21%","0 / 4
0.00%","0 / 0
NA","0 / 80
0.00%","472 / 473
99.79%","51 / 138
36.96%","1561 / 1574
99.17%","0 / 226
0.00%","0 / 1046
0.00%","0 / 0
NA","0 / 418
0.00%"
SRR19179147.fastq.bam,"0 / 3023
0.00%","0 / 433
0.00%","2670 / 3023
88.32%","0 / 155
0.00%","134 / 136
98.53%","0 / 1
0.00%","0 / 62
0.00%","3555 / 3689
96.37%","631 / 632
99.84%","0 / 4
0.00%","52 / 52
100.00%","3283 / 3325
98.74%","0 / 203
0.00%","0 / 320
0.00%","3 / 4617
0.06%","0 / 609
0.00%","1 / 4
25.00%","1 / 1
100.00%","28 / 415
6.75%","0 / 0
NA","0 / 386
0.00%","2670 / 3023
88.32%","0 / 155
0.00%","0 / 2022
0.00%","136 / 138
98.55%","3577 / 3695
96.81%","0 / 19
0.00%","43 / 536
8.02%","0 / 265
0.00%","138 / 141
97.87%","3 / 5984
0.05%","0 / 13
0.00%","0 / 95
0.00%","0 / 1361
0.00%","0 / 78
0.00%","0 / 435
0.00%","0 / 127
0.00%","1965 / 2031
96.75%","412 / 433
95.15%","6688 / 6689
99.99%","0 / 136
0.00%","0 / 290
0.00%","3 / 138
2.17%","0 / 0
NA","0 / 386
0.00%","0 / 999
0.00%","2 / 2031
0.10%","0 / 0
NA","0 / 1505
0.00%","62 / 2188
2.83%","0 / 95
0.00%","0 / 0
NA","0 / 31
0.00%","2005 / 2173
92.27%","0 / 1
0.00%","3567 / 3689
96.69%","0 / 320
0.00%","0 / 609
0.00%","0 / 155
0.00%","54 / 2026
2.67%"
SRR19179148.fastq.bam,"1 / 5034
0.02%","0 / 1085
0.00%","4797 / 5034
95.29%","0 / 0
NA","114 / 115
99.13%","117 / 117
100.00%","0 / 82
0.00%","5324 / 5380
98.96%","1034 / 1038
99.61%","1 / 5
20.00%","32 / 32
100.00%","3915 / 3964
98.76%","0 / 351
0.00%","0 / 367
0.00%","125 / 8831
1.42%","0 / 1541
0.00%","1 / 9
11.11%","0 / 0
NA","0 / 490
0.00%","0 / 0
NA","0 / 1021
0.00%","4797 / 5034
95.29%","0 / 0
NA","0 / 3133
0.00%","117 / 117
100.00%","5359 / 5384
99.54%","0 / 23
0.00%","9 / 664
1.36%","0 / 249
0.00%","117 / 120
97.50%","6 / 8954
0.07%","0 / 13
0.00%","0 / 345
0.00%","0 / 2784
0.00%","0 / 66
0.00%","0 / 1097
0.00%","0 / 2
0.00%","3099 / 3143
98.60%","776 / 1086
71.45%","10067 / 10081
99.86%","0 / 115
0.00%","0 / 430
0.00%","0 / 117
0.00%","0 / 0
NA","0 / 1
0.00%","0 / 1602
0.00%","262 / 3143
8.34%","0 / 87
0.00%","0 / 1945
0.00%","2 / 3295
0.06%","0 / 344
0.00%","0 / 0
NA","0 / 62
0.00%","3190 / 3271
97.52%","120 / 133
90.23%","5338 / 5380
99.22%","0 / 368
0.00%","2 / 1544
0.13%","0 / 0
NA","0 / 3137
0.00%"
SRR19179149.fastq.bam,"0 / 2545
0.00%","0 / 152
0.00%","2530 / 2546
99.37%","0 / 0
NA","187 / 190
98.42%","191 / 193
98.96%","0 / 60
0.00%","0 / 1
0.00%","863 / 869
99.31%","0 / 12
0.00%","34 / 38
89.47%","2549 / 2572
99.11%","0 / 138
0.00%","0 / 723
0.00%","9 / 14718
0.06%","0 / 1560
0.00%","0 / 14
0.00%","0 / 0
NA","0 / 504
0.00%","0 / 0
NA","0 / 134
0.00%","2529 / 2546
99.33%","0 / 0
NA","0 / 2241
0.00%","191 / 193
98.96%","0 / 1
0.00%","0 / 9
0.00%","15 / 453
3.31%","0 / 294
0.00%","193 / 193
100.00%","0 / 2625
0.00%","0 / 13
0.00%","0 / 1
0.00%","0 / 1345
0.00%","0 / 25
0.00%","0 / 155
0.00%","0 / 0
NA","2243 / 2260
99.25%","151 / 152
99.34%","3524 / 3527
99.91%","0 / 190
0.00%","0 / 147
0.00%","0 / 193
0.00%","0 / 0
NA","0 / 134
0.00%","0 / 782
0.00%","389 / 2260
17.21%","0 / 1
0.00%","0 / 1032
0.00%","1 / 2448
0.04%","0 / 24
0.00%","0 / 0
NA","0 / 37
0.00%","2441 / 2448
99.71%","193 / 4563
4.23%","0 / 0
NA","0 / 723
0.00%","1 / 1564
0.06%","0 / 0
NA","0 / 2245
0.00%"
SRR19179150.fastq.bam,"0 / 6420
0.00%","0 / 612
0.00%","6383 / 6420
99.42%","0 / 0
NA","140 / 141
99.29%","142 / 143
99.30%","0 / 68
0.00%","8101 / 8156
99.33%","1434 / 1439
99.65%","1 / 10
10.00%","53 / 54
98.15%","4885 / 4952
98.65%","0 / 434
0.00%","0 / 603
0.00%","7 / 7239
0.10%","0 / 1685
0.00%","0 / 36
0.00%","1 / 1
100.00%","0 / 977
0.00%","0 / 0
NA","0 / 560
0.00%","6383 / 6420
99.42%","0 / 0
NA","0 / 3373
0.00%","142 / 143
99.30%","8154 / 8172
99.78%","0 / 27
0.00%","41 / 1306
3.14%","0 / 289
0.00%","143 / 148
96.62%","12 / 6861
0.17%","0 / 15
0.00%","0 / 42
0.00%","0 / 2724
0.00%","0 / 74
0.00%","0 / 618
0.00%","1 / 103
0.97%","3378 / 3382
99.88%","612 / 613
99.84%","8364 / 8370
99.93%","0 / 141
0.00%","0 / 488
0.00%","0 / 143
0.00%","0 / 0
NA","0 / 564
0.00%","0 / 2079
0.00%","0 / 3382
0.00%","0 / 3
0.00%","0 / 2570
0.00%","0 / 3542
0.00%","0 / 42
0.00%","0 / 0
NA","0 / 78
0.00%","3535 / 3539
99.89%","148 / 160
92.50%","8112 / 8156
99.46%","0 / 603
0.00%","2 / 1690
0.12%","0 / 0
NA","0 / 3374
0.00%"
